ads_count,trackers_count,normal_resources_count,total_resources,third_party_count,tracker_ratio,third_party_ratio,rule_based_risk_score,risk_label
0,0,5,5,1,0.0,0.2,0,0
0,1,5,6,2,0.1667,0.3333,20,0
1,0,5,6,2,0.0,0.3333,15,0
1,1,5,7,3,0.1429,0.4286,35,0
0,2,6,8,3,0.25,0.375,40,0
2,1,5,8,4,0.125,0.5,45,0
1,2,4,7,4,0.2857,0.5714,55,1
2,3,5,10,6,0.3,0.6,70,1
3,2,4,9,6,0.2222,0.6667,75,1
4,3,3,10,7,0.3,0.7,90,1
5,4,2,11,8,0.3636,0.7273,100,1
3,5,2,10,8,0.5,0.8,100,1
0,0,10,10,2,0.0,0.2,0,0
1,0,8,9,2,0.0,0.2222,15,0
0,3,7,10,4,0.3,0.4,60,1
2,0,8,10,3,0.0,0.3,30,0
2,2,6,10,5,0.2,0.5,55,1
3,1,7,11,5,0.0909,0.4545,55,1
0,1,9,10,2,0.1,0.2,20,0
4,1,6,11,6,0.0909,0.5455,60,1
